Supplier Name,Hoang Phat Furniture,Dong Nai Chair Factory,Da Nang Table Maker,Saigon Chair supplier,Hanoi Classic Wood
Email,hoangphat@gmail.com,dongnaichair@gmail.com,danangtable@gmail.com,saigonchair@gmail.com,hanoiclassic@gmail.com
Phone,0987654321,0912345678,0236123456,0283999999,0243111111
Address,789 Wood Ave Binh Duong,456 Industrial St Dong Nai,88 Ocean Blvd Da Nang,12 Hiep Binh Thu Duc,99 Ba Dinh Hanoi
Product Name,table,chair,Round Table,Chair,Table
Quoted Price,150.00,45.50,250.00,55.00,190.00
Lead Time,30,15,20,12,45
Website,www.hoangphat.com,www.dongnaichair.vn,www.danangtable.com,www.saigonchair.com.vn,www.hanoiclassicwood.com
Contact Person,Nguyen Van A,Tran Thi B,Le Van C,Pham Van D,Hoang Thi E
Tax ID,0102030405,0304050607,0506070809,0708091011,0910111213
Business Type,Manufacturer,Manufacturer,Distributor,Wholesaler,Agent / Trader
